Loan Ids,Good/Bad Loan,Covid_Period(Default),RECOMENDED_LOAN_AMT,INTEREST_RATE,TENOR,TOTAL_COLLATERAL_VALUE,REC_BASIS,FRESH_TOPUP,PRODUCT,CONSTITUTION,SOURCE_BRANCH,APPLICANT_STATE,APPLICANT_CITY,COBORROWER1_DESIGNATION,COBORROWER2_DESIGNATION,COBORROWER1_CIBILSCORE,COBORROWER2_CIBILSCORE,LOCALITY,Years of Operation,TOTAL_INCOME
sdv-id-aUzuCs,Bad,Yes,51055,14,35,,Cashflows,Fresh,Unsecured,Trust,A,New Jersey,Nguyenberg,Chairman,Secretary,866,-1,SEMIU,8,8607574
sdv-id-oJeUhr,Good,No,71357,14,43,28269358.88,Finance Ledgers,Fresh,Secured,Society,B,Maine,North Jimmyshire,Secretary,Trustee,866,368,RURAL,8,9628977
sdv-id-ivNIOi,Bad,Yes,4127836,14,110,,Cashflows,Fresh,Others,Society,C,Louisiana,Myersmouth,Managing Director,Trustee,566,862,RURAL,30,65048374
sdv-id-HTzGtI,Good,No,9567845,14,54,38336154.4,Finance Ledgers,Fresh,Others,Private Limited Company,D,New Hampshire,Walshburgh,President,Managing Director,866,862,URBAN,13,44234752
sdv-id-PGqGwE,Bad,No,363753,14,43,,Cashflows,Fresh,Secured,Trust,E,New Hampshire,New Cheryl,President,President,866,-1,URBAN,45,26922219
sdv-id-eyWEjt,Bad,Yes,1850780,14,77,2494948.087,Average Bank Balance,Fresh,Others,Society,F,Pennsylvania,Taylorview,Secretary,Secretary,866,862,SEMIU,6,5898972
sdv-id-hfqHCc,Good,No,80195,14,33,27115564.33,Cashflows,Fresh,Others,Society,D,South Dakota,Hendersonside,Secretary,Chairman,863,862,SEMIU,1,545897
sdv-id-cZHUzb,Good,No,9275513,14,67,,Cashflows,Fresh,Others,Trust,C,Kentucky,North Billyfort,Secretary,Vice President,1,862,SEMIU,6,47902247
sdv-id-qeiqHQ,Bad,No,1962846,14,65,,Finance Ledgers,Fresh,Unsecured,Society,G,Arkansas,Millerborough,Chairman,Secretary,866,862,RURAL,10,13915118
sdv-id-CgYerp,Good,No,367238,14,37,,Cashflows,Fresh,Others,Trust,H,Alaska,North Candace,Chairman,Others,866,655,SEMIU,18,27632978
sdv-id-pIxNDS,Good,No,77285,14,61,,Finance Ledgers,Fresh,Secured,Society,I,Illinois,South Jeremy,Correspondent,Chairman,866,862,RURAL,29,2708374
sdv-id-UAElXl,Good,No,254374,14,40,,Cashflows,Fresh,Unsecured,Society,C,Maine,Gibsonburgh,President,Secretary,866,862,RURAL,7,17553677
sdv-id-HYKRSK,Good,No,6753536,14,105,37042135.25,Cashflows,Fresh,Others,Society,J,Idaho,East Randallport,President,Director,866,-1,SEMIU,7,37256097
sdv-id-UMjeFT,Bad,No,261801,14,32,,Finance Ledgers,Fresh,Others,Society,K,South Dakota,Scottport,Managing Trustee,President,866,862,RURAL,2,2387605
sdv-id-YilxQM,Good,No,11919,14,37,,Finance Ledgers,Top Up,Secured,Society,E,Arizona,Williamsfort,Secretary,Member,866,862,URBAN,10,288883
sdv-id-efUpqR,Good,No,3058602,14,70,24783540.39,Cashflows,Top Up,Secured,Society,L,Kentucky,West Andreashire,Correspondent,Treasurer,866,862,SEMIU,10,19808225
sdv-id-HOvaQB,Bad,Yes,627355,14,84,15118178.79,Cashflows,Fresh,Secured,Society,M,South Dakota,West Williamborough,President,President,677,862,RURAL,5,1083478
sdv-id-UsuuAn,Good,Yes,1390299,14,66,,Cashflows,Fresh,Unsecured,Society,N,Montana,West Danielburgh,President,Others,866,862,RURAL,18,28737904
sdv-id-ijnieu,Bad,No,331167,14,43,,Cashflows,Top Up,Unsecured,Society,H,New Jersey,Kimborough,Secretary,Managing Director,866,16,RURAL,4,1801958
sdv-id-mjAEaf,Bad,No,5323047,14,56,,Finance Ledgers,Fresh,Secured,Society,B,Hawaii,West Kimberly,President,President,22,862,URBAN,19,49135156
sdv-id-kGbYxc,Bad,No,2282295,14,104,7545718.527,Cashflows,Fresh,Others,Society,M,Alaska,Hooperborough,Managing Trustee,Secretary,866,862,URBAN,22,20003440
sdv-id-hcYfdK,Bad,Yes,2677317,14,81,,Cashflows,Fresh,Others,Society,G,Texas,East Taylorside,President,Member,832,3,RURAL,10,495380
sdv-id-YIAYey,Bad,No,4995324,14,63,,Finance Ledgers,Fresh,Unsecured,Trust,O,Alabama,Millerchester,Others,Treasurer,4,-1,RURAL,6,25824561
sdv-id-LKyOar,Bad,No,4419429,14,43,18312372.75,Finance Ledgers,Top Up,Unsecured,Trust,J,Pennsylvania,North Rachel,Correspondent,President,866,862,URBAN,28,16768756
sdv-id-wMrUdE,Bad,No,1182242,14,36,,Finance Ledgers,Fresh,Unsecured,Society,E,Nebraska,Richardsonview,Secretary,President,866,862,SEMIU,6,3269866
sdv-id-GZtHNp,Good,No,228989,14,49,13221024.55,Finance Ledgers,Fresh,Unsecured,Society,E,Michigan,West Matthewfurt,Secretary,President,866,862,RURAL,15,17519354
sdv-id-kAYYEm,Bad,No,447886,14,48,35136370.38,Cashflows,Fresh,Secured,Society,O,Michigan,Lake April,Secretary,President,866,862,URBAN,13,14041774
